Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Poland,Poland,PL,659.11,722.45,30.68,30.38,entsoe.eu,false,
2024-01-01 01:00:00,Poland,Poland,PL,665.6,729.43,29.91,29.53,entsoe.eu,false,
2024-01-01 02:00:00,Poland,Poland,PL,673.15,737.69,28.98,28.56,entsoe.eu,false,
2024-01-01 03:00:00,Poland,Poland,PL,683.4,748.61,27.93,27.4,entsoe.eu,false,
2024-01-01 04:00:00,Poland,Poland,PL,692.49,758.53,26.75,26.27,entsoe.eu,false,
2024-01-01 05:00:00,Poland,Poland,PL,703.06,770.41,25.35,24.89,entsoe.eu,false,
2024-01-01 06:00:00,Poland,Poland,PL,705.02,772.85,25.16,24.81,entsoe.eu,false,
2024-01-01 07:00:00,Poland,Poland,PL,695.33,763.07,25.76,25.35,entsoe.eu,false,
2024-01-01 08:00:00,Poland,Poland,PL,702.53,770.17,24.96,24.26,entsoe.eu,false,
2024-01-01 09:00:00,Poland,Poland,PL,703.48,770.46,25.34,24.51,entsoe.eu,false,
2024-01-01 10:00:00,Poland,Poland,PL,681.39,746.89,27.69,25.14,entsoe.eu,false,
2024-01-01 11:00:00,Poland,Poland,PL,685.91,750.93,27.56,24.64,entsoe.eu,false,
2024-01-01 12:00:00,Poland,Poland,PL,668.31,730.65,30.33,26.37,entsoe.eu,false,
2024-01-01 13:00:00,Poland,Poland,PL,666.8,730.4,29.77,26.48,entsoe.eu,false,
2024-01-01 14:00:00,Poland,Poland,PL,692.82,756.71,27.63,25.52,entsoe.eu,false,
2024-01-01 15:00:00,Poland,Poland,PL,682.59,744.91,29.0,26.65,entsoe.eu,false,
2024-01-01 16:00:00,Poland,Poland,PL,658.66,719.93,31.09,28.85,entsoe.eu,false,
2024-01-01 17:00:00,Poland,Poland,PL,639.7,700.37,32.47,29.63,entsoe.eu,false,
2024-01-01 18:00:00,Poland,Poland,PL,640.81,701.86,32.3,29.4,entsoe.eu,false,
2024-01-01 19:00:00,Poland,Poland,PL,661.85,723.45,30.52,28.13,entsoe.eu,false,
2024-01-01 20:00:00,Poland,Poland,PL,659.91,722.62,30.09,27.12,entsoe.eu,false,
2024-01-01 21:00:00,Poland,Poland,PL,678.15,742.69,27.87,25.64,entsoe.eu,false,
2024-01-01 22:00:00,Poland,Poland,PL,702.1,767.98,25.27,23.51,entsoe.eu,false,
2024-01-01 23:00:00,Poland,Poland,PL,698.59,765.29,25.16,23.88,entsoe.eu,false,
2024-01-02 00:00:00,Poland,Poland,PL,708.36,774.44,25.13,23.79,entsoe.eu,false,
2024-01-02 01:00:00,Poland,Poland,PL,722.62,788.95,24.1,22.93,entsoe.eu,false,
2024-01-02 02:00:00,Poland,Poland,PL,721.19,787.81,24.07,23.06,entsoe.eu,false,
2024-01-02 03:00:00,Poland,Poland,PL,733.79,800.87,23.1,22.36,entsoe.eu,false,
2024-01-02 04:00:00,Poland,Poland,PL,727.2,794.49,23.53,22.94,entsoe.eu,false,
2024-01-02 05:00:00,Poland,Poland,PL,735.96,803.89,22.15,21.38,entsoe.eu,false,
2024-01-02 06:00:00,Poland,Poland,PL,748.83,815.24,21.78,20.84,entsoe.eu,false,
2024-01-02 07:00:00,Poland,Poland,PL,754.53,820.59,21.4,20.31,entsoe.eu,false,
2024-01-02 08:00:00,Poland,Poland,PL,734.25,797.59,24.41,23.08,entsoe.eu,false,
2024-01-02 09:00:00,Poland,Poland,PL,697.08,758.85,28.3,26.23,entsoe.eu,false,
2024-01-02 10:00:00,Poland,Poland,PL,673.72,734.24,30.68,27.38,entsoe.eu,false,
