"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|IT-North","Without Sequence","107.09","",""
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|IT-North","Without Sequence","104.00","",""
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|IT-North","Without Sequence","100.00","",""
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|IT-North","Without Sequence","85.66","",""
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|IT-North","Without Sequence","85.00","",""
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|IT-North","Without Sequence","85.53","",""
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|IT-North","Without Sequence","95.07","",""
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|IT-North","Without Sequence","104.07","",""
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|IT-North","Without Sequence","106.95","",""
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|IT-North","Without Sequence","107.08","",""
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|IT-North","Without Sequence","104.00","",""
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|IT-North","Without Sequence","98.13","",""
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|IT-North","Without Sequence","101.55","",""
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|IT-North","Without Sequence","98.16","",""
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|IT-North","Without Sequence","98.17","",""
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|IT-North","Without Sequence","105.54","",""
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|IT-North","Without Sequence","110.00","",""
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|IT-North","Without Sequence","120.04","",""
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|IT-North","Without Sequence","131.50","",""
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|IT-North","Without Sequence","132.00","",""
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|IT-North","Without Sequence","127.75","",""
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|IT-North","Without Sequence","113.48","",""
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|IT-North","Without Sequence","109.18","",""
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|IT-North","Without Sequence","107.20","",""
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|IT-North","Without Sequence","105.49","",""
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|IT-North","Without Sequence","90.09","",""
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|IT-North","Without Sequence","84.27","",""
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|IT-North","Without Sequence","84.27","",""
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|IT-North","Without Sequence","84.27","",""
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|IT-North","Without Sequence","100.00","",""
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|IT-North","Without Sequence","108.28","",""
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|IT-North","Without Sequence","113.85","",""
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|IT-North","Without Sequence","126.90","",""
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|IT-North","Without Sequence","119.50","",""
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","BZN|IT-North","Without Sequence","110.60","",""
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","BZN|IT-North","Without Sequence","108.28","",""
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","BZN|IT-North","Without Sequence","105.88","",""
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","BZN|IT-North","Without Sequence","100.15","",""
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","BZN|IT-North","Without Sequence","108.28","",""
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","BZN|IT-North","Without Sequence","110.00","",""
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","BZN|IT-North","Without Sequence","112.80","",""
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","BZN|IT-North","Without Sequence","129.99","",""
"02/01/2024 18:00:00 - 02/01/2024 19:00:00","BZN|IT-North","Without Sequence","130.00","",""
"02/01/2024 19:00:00 - 02/01/2024 20:00:00","BZN|IT-North","Without Sequence","124.29","",""
"02/01/2024 20:00:00 - 02/01/2024 21:00:00","BZN|IT-North","Without Sequence","111.26","",""
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","BZN|IT-North","Without Sequence","108.28","",""
"02/01/2024 22:00:00 - 02/01/2024 23:00:00","BZN|IT-North","Without Sequence","106.00","",""
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","BZN|IT-North","Without Sequence","92.41","",""
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","BZN|IT-North","Without Sequence","82.50","",""
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","BZN|IT-North","Without Sequence","70.10","",""
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","BZN|IT-North","Without Sequence","50.21","",""
