"Codice regione","Regione","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"01","Piemonte","989655","932829","89408","63113","2174","78","45","2077302","822799","943085","124251","282733","1361","81","11","2174321","4251623"
"02","Valle d'Aosta/Vallée d'Aoste","30492","25112","2996","1673","41","1","2","60317","25414","25281","4040","7786","37","2","0","62560","122877"
"03","Lombardia","2438816","2181183","173482","126937","6244","195","146","4927003","2059292","2199459","240894","581983","3207","178","38","5085051","10012054"
"04","Trentino-Alto Adige/Südtirol","281302","223992","18754","11414","421","13","7","535903","240054","225746","25270","55434","274","20","1","546799","1082702"
"05","Veneto","1156616","1084966","84137","60475","1972","64","32","2388262","970647","1093427","112188","286530","1091","62","9","2463954","4852216"
"06","Friuli-Venezia Giulia","281228","259116","25762","17287","419","8","9","583829","230994","260797","35504","83226","245","19","2","610787","1194616"
"07","Liguria","343004","325790","35971","23852","736","12","8","729373","286468","331102","50710","110924","543","14","6","779767","1509140"
"08","Emilia-Romagna","1086754","948519","84054","61138","2218","57","40","2182780","927249","957598","118317","264331","1552","101","10","2269158","4451938"
"09","Toscana","849417","807212","68282","53087","1821","58","29","1779906","731855","818495","96168","232755","1275","60","16","1880624","3660530"
"10","Umbria","193507","194095","13516","11877","311","8","4","413318","166033","196927","18953","57670","159","6","2","439750","853068"
"11","Marche","348615","333461","23813","19612","392","9","4","725906","288550","337208","31936","98878","251","12","5","756840","1482746"
"12","Lazio","1370947","1234671","89718","71513","3693","79","41","2770662","1224467","1254366","139046","324123","1965","99","17","2944083","5714745"
"13","Abruzzo","291881","295867","17774","16233","246","6","2","622009","243292","296993","23598","83491","177","11","0","647562","1269571"
"14","Molise","66701","69258","3178","4125","40","0","2","143304","53342","68539","3880","20134","23","1","1","145920","289224"
"15","Campania","1301575","1318813","41213","70879","914","19","9","2733422","1147818","1341521","64111","306534","470","30","0","2860484","5593906"
"16","Puglia","864399","940622","40578","51561","700","18","8","1897886","765954","947433","55888","223086","397","15","2","1992775","3890661"
"17","Basilicata","121951","129383","4907","7288","39","0","0","263568","99633","128584","6151","35262","35","0","0","269665","533233"
"18","Calabria","421629","441016","15317","23164","101","3","0","901230","357642","442375","21025","116219","72","4","1","937338","1838568"
"19","Sicilia","1084110","1145149","50636","58628","896","33","14","2339466","948327","1147472","70634","290832","590","32","6","2457893","4797359"
"20","Sardegna","385457","339818","25237","20341","412","12","5","771282","330082","339858","31076","97893","241","18","3","799171","1570453"
