"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.3503420008394","","22.8390120625091","21.2201640012356","22.5008631176477","21.196656991427","22.2618316120384","21.5544121852595","21.7909848564477","23.3745551261376","23.2046735334186","23.0285825509618","25.427419022904","22.9883803995261","24.5115209375445","24.4508393242304","23.4838032653679","22.439859811553","23.4700578168223","23.5415160921049","23.8683790822726","27.3537700618578","26.1817193149275","26.0663340829455","","",
"Afghanistan","AFG","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.5781737687622","24.2432588226125","50.7192978736512","44.3178392396772","50.8630045999057","59.4847758807514","42.3292514484608","42.0936844468805","44.5892994893339","37.0225695736427","43.9227656125389","39.2201099807684","","","","","","","",
"Africa Western and Central","AFW","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6524460019801","21.8300194095745","29.0157756429379","21.1229588884631","25.9032762953933","16.1454402407842","20.8255646807053","19.0326436506387","20.8230172371605","22.3855333293293","25.5005028381804","25.6491757416689","26.671321487158","23.4498300606546","28.2092373749944","27.967359355335","20.8188316179919","17.5116639833286","16.671137232855","15.6076580956447","16.6849522138374","","","","","",
"Albania","ALB","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.3249537436272","20.8511256556153","25.1906469365911","29.4050867748318","","","","23.9137599310471","22.1505284536344","22.1108409622779","","","","","","","22.8639005918422","23.1453646987216","24.1215753414946","24.257646662903","24.2686000374049","23.7020106412118","23.4381629574962","22.9293224265946","22.8783961540405","24.6048213042971","24.3982971282128","27.0031538353567","25.3755472560051","",
"Andorra","AND","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.7777977046847","23.3365213095239","","","","","","","","","",
"United Arab Emirates","ARE","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.05387363605581","6.54878847413229","6.20006062052198","","","","","","","","","","","","4.00926138833204","4.1377317382164","3.90972548785967","3.79210885739276","4.14789859152812","4.31828112482361","4.01528734006126","3.91824991328935","4.25932372166568","5.25917164753361","4.33677211655088","3.87547095264209","3.83096429015774","",
"Argentina","ARG","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3254404487432","11.2055409345172","11.8011099217048","14.2818561185834","14.9007924176507","15.5112306915719","15.1655476442657","15.0142218610321","15.0988005449104","16.7436856974566","16.8328883767368","16.9923529034125","19.6771706443151","19.8373029880995","16.8763416365527","","","","","","","","","","24.5697808575806","25.0083932347048","26.1799164832469","24.2825320419979","22.6709430512171","22.0364845686943","25.8405452538391","22.8967903877811","21.9068187207194","21.1189070510753","",
