name,group,elicited_points,confidence,elicitation_meta
Thermal Efficiency,Technical,"[[33.0, 0.0], [33.1, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": 33.0, ""upper_threshold"": 33.1, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Discharge Burnup,Technical,"[[46.5, 0.0], [55.0, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Capital Investment Budgeted,Economic,"[[4000.0, 1.0], [20000.0, 0.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Decreasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Operative + Fuel Costs,Economic,"[[20.0, 1.0], [50.0, 0.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Decreasing"", ""lower_threshold"": null, ""upper_threshold"": 50.0, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Percived Safety,Social,"[[1.0, 0.0], [1.1, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": 1.0, ""upper_threshold"": 1.1, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Nuclear Waste,Social,"[[5.88, 0.0], [27.71, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
GHGe Benefit - IT,Social,"[[0.53, 0.0], [2.9, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
GHGe Benefit - PO,Social,"[[1.67, 0.0], [9.07, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
GHGe Benefit - CH,Social,"[[0.026, 0.0], [0.16, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
GHGe Benefit - FR,Social,"[[0.021, 0.0], [0.13, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Electricity Market Benefit - IT,Social,"[[24.0, 0.0], [49.0, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Electricity Market Benefit - PO,Social,"[[13.0, 0.0], [38.0, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Electricity Market Benefit - CH,Social,"[[8.0, 0.0], [18.0, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Electricity Market Benefit - FR,Social,"[[0.0, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Load following Capabilities - IT,Technical,"[[0.0, 0.0], [4.25, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
