name,elicited_points,value_function,elicitation_meta
C_1_1,"[[1.0, 0.0], [6.0, 0.5], [9.0, 1.0]]",lambda x: (0.00833333333333)*x**2 + (0.0416666666667)*x**1 + (-0.05),"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": 6.0, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}}"
C_1_2,"[[1.0, 0.0], [3.0, 0.5], [5.0, 1.0], [9.0, 0.0]]",lambda x: (-0.0568181818182)*x**2 + (0.577272727273)*x**1 + (-0.575),"{""mode"": ""Non-monotonic"", ""shape"": ""Concave (\u2229)"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": 5.0, ""left_indiff"": 3.0, ""right_indiff"": null, ""fit_type"": ""Gaussian"", ""fit_params"": {""mu"": 5.04, ""sigma"": 1.6383680000000003, ""amplitude"": 1.0, ""offset"": 0.0}}"
C_1_3,"[[1.0, 1.0], [6.0, 0.25], [9.0, 0.0]]",lambda x: (0.00833333333333)*x**2 + (-0.208333333333)*x**1 + (1.2),"{""mode"": ""Monotonic"", ""shape"": ""Decreasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": 6.0, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}}"
C_2_1,"[[1.0, 0.0], [9.0, 1.0]]",lambda x: (0.125)*x**1 + (-0.125),"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}}"
C_2_2,"[[1.0, 0.0], [9.0, 1.0]]",lambda x: (0.125)*x**1 + (-0.125),"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}}"
C_2_3,,,
C_3_1,,,
C_3_2,,,
C_3_3,,,
C_4_1,,,
C_4_2,,,
C_4_3,,,
