Type,Reference,Other,Value,Group,Confidence
best,Capital Investment Budgeted,Construction Complexity,8913.043478,Economic,4
best,Capital Investment Budgeted,Design Complexity,6400.0,Economic,3
best,Capital Investment Budgeted,Operative + Fuel Costs,9600.0,Economic,2
worst,Operative + Fuel Costs,Construction Complexity,2.440217,Economic,4
best,Capital Investment Budgeted,Construction Complexity,20000.0,Economic,3
best,Capital Investment Budgeted,Design Complexity,8800.0,Economic,3
best,Capital Investment Budgeted,Operative + Fuel Costs,5600.0,Economic,3
worst,Operative + Fuel Costs,Construction Complexity,6.0,Economic,4
worst,Operative + Fuel Costs,Design Complexity,6.0,Economic,0
best,Supplier Availbility,Design Maturity,3.33,Feasibility,3
best,Supplier Availbility,Licensing Status,4.0,Feasibility,1
worst,Licensing Status,Design Maturity,3.68,Feasibility,3
best,Load following Capabilities,Discharge Burnup,2.05,Technical,3
best,Load following Capabilities,Net Power Output,1.42,Technical,0
best,Load following Capabilities,Thermal Efficiency,2.05,Technical,1
worst,Discharge Burnup,Net Power Output,1497.0,Technical,3
worst,Discharge Burnup,Thermal Efficiency,31.07,Technical,2
best,Load following Capabilities,Electricity Market Benefit,36.5,Social,4
best,Load following Capabilities,GHGe Benefit,46.5,Social,4
best,Load following Capabilities,Nuclear Waste,29.0,Social,4
best,Load following Capabilities,Percived Safety,36.5,Social,4
worst,Discharge Burnup,Electricity Market Benefit,49.0,Social,4
worst,Discharge Burnup,GHGe Benefit,2.19,Social,4
worst,Discharge Burnup,Nuclear Waste,12.998478,Social,4
worst,Discharge Burnup,Percived Safety,0.54,Social,4
worst,Discharge Burnup,Percived Safety,1.16,Social,4
best,Capital Investment Budgeted,Construction Complexity,20000.0,Economic,4
best,Capital Investment Budgeted,Design Complexity,20000.0,Economic,4
best,Capital Investment Budgeted,Operative + Fuel Costs,20000.0,Economic,4
worst,Operative + Fuel Costs,Construction Complexity,6.0,Economic,4
worst,Operative + Fuel Costs,Design Complexity,6.0,Economic,4
best,Design Maturity,Licensing Status,1.0,Feasibility,2
best,Design Maturity,Supplier Availbility,1.0,Feasibility,2
worst,Supplier Availbility,Licensing Status,1.0,Feasibility,2
best,Discharge Burnup,Load following Capabilities,46.5,Technical,4
best,Discharge Burnup,Net Power Output,46.5,Technical,4
best,Discharge Burnup,Thermal Efficiency,46.5,Technical,4
worst,Thermal Efficiency,Load following Capabilities,0.21,Technical,4
worst,Thermal Efficiency,Net Power Output,300.0,Technical,4
best,GHGe Benefit,Electricity Market Benefit,0.53,Social,2
best,GHGe Benefit,Nuclear Waste,0.53,Social,2
best,GHGe Benefit,Percived Safety,0.53,Social,2
worst,Percived Safety,Electricity Market Benefit,24.0,Social,2
worst,Percived Safety,Nuclear Waste,27.71,Social,2
best,Capital Investment Budgeted,Design Maturity,20000.0,Between-groups-B,2
best,Capital Investment Budgeted,Discharge Burnup,20000.0,Between-groups-B,2
best,Capital Investment Budgeted,GHGe Benefit,20000.0,Between-groups-B,2
worst,GHGe Benefit,Design Maturity,1.0,Between-groups-B,2
worst,GHGe Benefit,Discharge Burnup,46.5,Between-groups-B,3
best,Operative + Fuel Costs,Supplier Availbility,72.0,Between-groups-W,4
best,Operative + Fuel Costs,Thermal Efficiency,72.0,Between-groups-W,1
best,Operative + Fuel Costs,Percived Safety,72.0,Between-groups-W,4
worst,Percived Safety,Supplier Availbility,1.0,Between-groups-W,3
worst,Percived Safety,Thermal Efficiency,30.8,Between-groups-W,2
