Capital Investment Budgeted,0.172,0.173,0.174
Construction Complexity,0.172
Design Complexity,0.169,0.17
Operative + Fuel Costs,0.021
Design Maturity,0.106
Licensing Status,0.015
Supplier Availbility,0.105
Discharge Burnup,0.002
Load following Capabilities,0.014
Net Power Output,0.03
Thermal Efficiency,0.01
Electricity Market Benefit,0.061
GHGe Benefit,0.061,0.062,0.063,0.064,0.065,0.066,0.067,0.068,0.069,0.07,0.071,0.072,0.073,0.074,0.075,0.076,0.077,0.078,0.079,0.08,0.081,0.082,0.083,0.084,0.085,0.086,0.087,0.088,0.089,0.09,0.091,0.092,0.093,0.094,0.095,0.096,0.097,0.098,0.099,0.1,0.101,0.102,0.103,0.104,0.105,0.106,0.107,0.108,0.109,0.11,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123,0.124,0.125,0.126,0.127,0.128,0.129,0.13,0.131,0.132
Nuclear Waste,0.008,0.009,0.01,0.011,0.012
Percived Safety,0.059
