Thermal Efficiency,0.013,0.014,0.015,0.016,0.017,0.018
Discharge Burnup,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.015,0.017,0.018,0.019,0.02,0.021,0.022,0.023,0.024,0.025,0.026,0.027
Load following Capabilities,0.005,0.006,0.007
Net Power Output,0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.02,0.021,0.022,0.023,0.024
Capital Investment Budgeted,0.182,0.184,0.185,0.186,0.189,0.19,0.191,0.192,0.193,0.194,0.195,0.196,0.197,0.198,0.199,0.2,0.201,0.202,0.203,0.204,0.205,0.206,0.207,0.208,0.209,0.21,0.211,0.212,0.213,0.214,0.215,0.216,0.217,0.218,0.219,0.222,0.223,0.224,0.225,0.227,0.228,0.229,0.231,0.232,0.233,0.234,0.235,0.236,0.238,0.239,0.24,0.242,0.243,0.244,0.245,0.246,0.247,0.248,0.249
Operative + Fuel Costs,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.036
Design Complexity,0.034,0.035,0.036,0.037,0.038,0.039,0.04,0.041,0.042,0.043,0.044,0.045,0.046,0.048,0.049,0.05,0.051,0.052,0.055,0.057,0.061,0.062,0.063,0.064,0.065,0.067,0.068,0.07,0.071,0.072,0.073,0.074,0.075,0.076,0.077,0.078,0.079,0.081,0.082,0.083,0.084,0.085,0.086,0.087,0.09,0.092,0.095,0.098
Construction Complexity,0.059,0.06,0.061,0.062,0.063,0.065,0.066,0.067,0.068,0.069,0.07,0.071,0.072,0.073,0.074,0.075,0.076,0.077,0.078,0.079,0.081,0.082,0.083,0.084,0.086,0.087,0.088,0.089,0.091,0.092,0.093,0.094,0.095,0.096,0.097,0.098,0.099,0.1,0.101,0.102,0.104,0.107,0.11,0.113,0.115,0.117,0.12,0.122,0.123,0.124,0.125
Percived Safety,0.019,0.02,0.021,0.022,0.023,0.024,0.025,0.026,0.027,0.028
Nuclear Waste,0.012,0.013,0.014,0.015,0.016
GHGe Benefit,0.063,0.064,0.065,0.066,0.067,0.068,0.069,0.07,0.071,0.072,0.073,0.074,0.075,0.076,0.077,0.078,0.079,0.08,0.081,0.082,0.083,0.084,0.085,0.086
Electricity Market Benefit,0.203,0.204,0.206,0.207,0.209,0.212,0.213,0.214,0.215,0.216,0.217,0.218,0.22,0.221,0.222,0.223,0.224,0.225,0.227,0.229,0.23,0.231,0.232,0.233,0.235,0.236,0.237,0.238,0.239,0.24,0.241,0.242,0.244,0.245,0.246,0.248,0.249,0.25,0.251,0.252,0.253,0.254,0.255,0.256,0.257,0.259,0.26,0.261,0.262,0.263,0.264,0.265,0.267,0.268,0.269,0.271,0.272,0.273,0.274,0.275,0.276,0.277,0.278,0.279
Design Maturity,0.07,0.072,0.073,0.074,0.075,0.076,0.077,0.078,0.079,0.08,0.081,0.082,0.083,0.084,0.085,0.086,0.087,0.088,0.089,0.091,0.092,0.096,0.097,0.098,0.1,0.101,0.104,0.105,0.106,0.107,0.108,0.109,0.11,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.122,0.123,0.124,0.125,0.126,0.128
Licensing Status,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.036,0.037,0.038,0.039,0.04,0.042,0.043,0.046,0.047,0.048,0.051,0.052,0.055,0.056,0.058,0.06,0.062,0.068,0.069,0.073,0.075,0.077,0.08,0.082,0.089,0.093,0.095,0.096,0.098,0.099,0.101,0.102,0.104,0.106,0.111,0.113,0.114,0.115,0.116,0.118,0.119,0.12,0.121,0.122,0.123,0.125,0.126,0.127,0.128,0.129,0.13,0.133
Supplier Availbility,0.028,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.036,0.037,0.038,0.039,0.04,0.041,0.042,0.043,0.044,0.045,0.046,0.047,0.048,0.049,0.05,0.051,0.052,0.053,0.054,0.055
