Type,Reference,Other,Value,Group,Confidence,a
best,Thermal Efficiency,Load following Capabilities,31.07,Technical,3,76.04562737642594
best,Thermal Efficiency,Discharge Burnup,32,Technical,3,68.96551724137913
best,Thermal Efficiency,Net Power Output,32,Technical,3,68.96551724137913
worst,Load following Capabilities,Discharge Burnup,46.97,Technical,3,17.781310796393573
worst,Load following Capabilities,Net Power Output,393.0,Technical,3,14.113352504854781
best,Capital Investment Budgeted,Operative + Fuel Costs,18478.26087,Economic,3,10.415192599101344
best,Capital Investment Budgeted,Design Complexity,13826.086957,Economic,3,2.5874312715567713
best,Capital Investment Budgeted,Construction Complexity,14000.0,Economic,3,2.662229617304493
worst,Operative + Fuel Costs,Design Complexity,5.456522,Economic,3,1.1218143472829636
worst,Operative + Fuel Costs,Construction Complexity,5.15,Economic,3,1.2045725574279966
best,Electricity Market Benefit,GHGe Benefit,24.3,Social,3,76.99414844471802
best,Electricity Market Benefit,Percived Safety,29.6,Social,3,4.448873545218349
best,Electricity Market Benefit,Nuclear Waste,28.4,Social,3,5.655340903949692
worst,GHGe Benefit,Percived Safety,1.1,Social,3,1.0
worst,GHGe Benefit,Nuclear Waste,26.167663,Social,3,13.970085406235503
best,Licensing Status,Design Maturity,3.6,Feasibility,2,1.92130341223486
best,Licensing Status,Supplier Availbility,5.88,Feasibility,2,1.0245649697138595
worst,Design Maturity,Supplier Availbility,5.05,Feasibility,2,1.2342783791456327
best,Capital Investment Budgeted,Thermal Efficiency,15000.0,Between-groups-B,2,3.1929754540011976
best,Capital Investment Budgeted,Electricity Market Benefit,6521.73913,Between-groups-B,2,1.1868747137249906
best,Capital Investment Budgeted,Licensing Status,14565.217391,Between-groups-B,2,2.9382879680257794
worst,Thermal Efficiency,Electricity Market Benefit,35.3,Between-groups-B,2,2.2097103511671694
worst,Thermal Efficiency,Licensing Status,3.2,Between-groups-B,2,2.2698383875068093
best,Design Maturity,GHGe Benefit,1.2,Between-groups-W,2,24.414062500000004
best,Design Maturity,Load following Capabilities,3.0,Between-groups-W,2,2.4962556165751373
best,Design Maturity,Operative + Fuel Costs,4.5,Between-groups-W,2,1.427959445951735
worst,GHGe Benefit,Load following Capabilities,0.21,Between-groups-W,2,19.856101663240516
worst,GHGe Benefit,Operative + Fuel Costs,29.217391,Between-groups-W,2,15.116655399782484
