Thermal Efficiency,0.045,0.046,0.047,0.048,0.049,0.05,0.051,0.052,0.053,0.054,0.055,0.056,0.057,0.059,0.06,0.061,0.062,0.063,0.064,0.065,0.066,0.067,0.068,0.069,0.07
Discharge Burnup,0.001,0.002,0.003,0.004,0.005,0.006,0.008,0.009,0.01,0.011,0.014,0.015,0.016,0.024,0.025,0.027,0.028,0.03,0.033,0.035,0.039,0.045,0.046,0.049,0.052,0.058,0.06,0.084,0.086,0.09,0.099,0.11,0.133,0.134,0.191,0.204,0.224,0.258,0.319,0.348,0.35,0.351
Load following Capabilities,0.022,0.023,0.024,0.025,0.026,0.027,0.028,0.03,0.031,0.032,0.033,0.034,0.035
Net Power Output,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.013,0.014,0.016,0.022,0.024,0.025,0.026,0.027,0.029,0.042,0.043,0.045,0.046,0.047,0.048,0.049,0.054,0.058,0.06,0.062,0.068,0.076,0.082,0.084,0.092,0.096,0.11,0.115,0.127,0.145,0.154,0.202,0.21,0.272,0.356
Capital Investment Budgeted,0.474,0.475,0.476,0.477,0.478,0.479,0.481,0.484,0.485,0.487,0.489,0.491,0.493,0.494,0.495,0.497,0.499,0.5,0.501,0.503,0.508,0.509,0.51,0.521,0.522,0.524,0.537,0.542,0.543,0.545,0.546,0.552,0.556,0.563,0.566,0.568,0.572,0.575,0.579,0.58,0.585,0.587,0.593,0.597,0.623,0.627,0.628,0.631,0.638,0.648,0.657,0.666,0.668,0.673,0.681,0.682,0.684,0.686,0.687,0.689,0.693,0.696,0.698,0.708,0.715,0.718,0.719,0.723,0.727,0.731,0.732,0.734,0.735
Operative + Fuel Costs,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.02,0.022,0.023,0.024,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.036,0.037
Design Complexity,0.02,0.021,0.022,0.023,0.024,0.025,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.038,0.039,0.043,0.044,0.046,0.047,0.05,0.052,0.055,0.059,0.06,0.062,0.073,0.078,0.083,0.094,0.095,0.1,0.113,0.114,0.146,0.154,0.164,0.169,0.184,0.189,0.19,0.197,0.198,0.347,0.355
Construction Complexity,0.02,0.021,0.022,0.023,0.024,0.025,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.036,0.037,0.038,0.04,0.044,0.045,0.05,0.051,0.052,0.056,0.057,0.061,0.065,0.071,0.073,0.078,0.092,0.095,0.102,0.128,0.18,0.188,0.19,0.198,0.204,0.231,0.262,0.298,0.309,0.364,0.369,0.371
Percived Safety,0.001,0.002,0.003,0.004,0.005,0.007,0.008,0.009,0.01,0.012,0.014,0.015,0.017,0.018,0.019,0.02,0.021,0.022,0.023,0.024,0.025,0.026,0.027,0.029,0.03
Nuclear Waste,0.001,0.002,0.003,0.004,0.005,0.006,0.008,0.009,0.01,0.011,0.013,0.014,0.015,0.016,0.018,0.019,0.02,0.023,0.028,0.029,0.031,0.033,0.034,0.035,0.036,0.037,0.038,0.04,0.041,0.042,0.043,0.044,0.048
GHGe Benefit,0.001,0.002
Electricity Market Benefit,0.022,0.023,0.024,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034
Design Maturity,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.013,0.015,0.016,0.02,0.021,0.022,0.024,0.026,0.029,0.03,0.031,0.032,0.033,0.036,0.037,0.038
Licensing Status,0.02,0.021,0.022,0.024,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.036,0.041,0.043,0.045,0.051,0.056,0.06,0.061,0.067,0.071,0.073,0.081,0.096,0.098,0.117,0.151,0.203,0.209,0.212,0.22,0.233,0.263,0.273,0.287,0.308
Supplier Availbility,0.001,0.002,0.003,0.004,0.005,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.015,0.016,0.018,0.019,0.024,0.025,0.03,0.031,0.032,0.033,0.034,0.035,0.037,0.039,0.04,0.042,0.045,0.051,0.056,0.06,0.061,0.064,0.068,0.071,0.077,0.088,0.096,0.097,0.104,0.115,0.123,0.128,0.144,0.163,0.263,0.328,0.336
