Thermal Efficiency,0.045,0.046,0.047,0.048,0.049,0.05,0.051,0.052,0.053,0.054,0.055,0.057,0.058,0.059,0.06,0.061,0.062,0.063,0.064,0.065,0.066,0.067,0.068,0.069,0.07
Discharge Burnup,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.013,0.018,0.019,0.02,0.022,0.023,0.024,0.025,0.026,0.028,0.029,0.031,0.032,0.035,0.037,0.041,0.044,0.046,0.051,0.053,0.054,0.058,0.059,0.063,0.07,0.072,0.076,0.077,0.082,0.103,0.11,0.111,0.128,0.13,0.136,0.14,0.147,0.15,0.178,0.305,0.315,0.325
Load following Capabilities,0.022,0.023,0.024,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034,0.035
Net Power Output,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.018,0.019,0.02,0.021,0.023,0.025,0.027,0.028,0.031,0.032,0.035,0.037,0.039,0.041,0.043,0.044,0.046,0.05,0.051,0.058,0.061,0.067,0.07,0.076,0.082,0.102,0.111,0.123,0.131,0.132,0.134,0.15,0.163,0.169,0.171,0.207,0.261,0.307
Capital Investment Budgeted,0.474,0.475,0.476,0.477,0.478,0.479,0.48,0.481,0.483,0.487,0.488,0.495,0.5,0.501,0.507,0.51,0.512,0.513,0.517,0.521,0.524,0.526,0.53,0.531,0.532,0.538,0.539,0.54,0.542,0.543,0.544,0.548,0.558,0.564,0.569,0.57,0.571,0.574,0.576,0.597,0.6,0.603,0.604,0.605,0.613,0.619,0.622,0.63,0.631,0.632,0.635,0.636,0.639,0.64,0.644,0.657,0.661,0.669,0.673,0.675,0.684,0.686,0.688,0.693,0.694,0.702,0.706,0.708,0.717,0.718,0.72,0.721,0.722,0.725,0.73,0.731,0.733,0.735
Operative + Fuel Costs,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.02,0.021,0.022,0.023,0.024,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.038
Design Complexity,0.02,0.021,0.022,0.023,0.024,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.036,0.037,0.039,0.04,0.042,0.044,0.045,0.051,0.057,0.059,0.061,0.062,0.064,0.068,0.07,0.081,0.082,0.085,0.088,0.089,0.092,0.093,0.095,0.099,0.101,0.106,0.113,0.12,0.124,0.143,0.151,0.157,0.162,0.182,0.187,0.198,0.209,0.25,0.26,0.338,0.366
Construction Complexity,0.02,0.021,0.022,0.023,0.024,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.036,0.037,0.039,0.041,0.042,0.044,0.045,0.048,0.051,0.052,0.054,0.055,0.057,0.058,0.059,0.061,0.062,0.064,0.079,0.08,0.086,0.088,0.098,0.099,0.107,0.124,0.126,0.155,0.167,0.181,0.183,0.188,0.197,0.198,0.229,0.237
Percived Safety,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.013,0.014,0.017,0.018,0.019,0.02,0.021,0.022,0.023,0.024,0.025,0.026,0.027,0.028,0.029,0.03
Nuclear Waste,0.001,0.002,0.003,0.004,0.005,0.007,0.008,0.009,0.01,0.013,0.014,0.015,0.016,0.017,0.018,0.02,0.022,0.023,0.024,0.025,0.026,0.028,0.032,0.034,0.035,0.036,0.037,0.038,0.039,0.04,0.041,0.045
GHGe Benefit,0.001,0.002
Electricity Market Benefit,0.022,0.023,0.024,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034
Design Maturity,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.02,0.021,0.024,0.026,0.027,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.038,0.039,0.041
Licensing Status,0.02,0.021,0.022,0.023,0.024,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.036,0.037,0.04,0.041,0.042,0.043,0.045,0.046,0.051,0.055,0.057,0.06,0.063,0.065,0.066,0.071,0.074,0.078,0.086,0.09,0.111,0.124,0.126,0.135,0.145,0.147,0.153,0.17,0.206,0.211,0.241,0.263,0.279,0.289
Supplier Availbility,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.011,0.012,0.013,0.014,0.015,0.017,0.019,0.02,0.021,0.022,0.024,0.026,0.027,0.034,0.035,0.036,0.038,0.04,0.041,0.044,0.047,0.052,0.059,0.061,0.062,0.065,0.066,0.07,0.097,0.112,0.129,0.182,0.196,0.197,0.212,0.235,0.256,0.304,0.338
