Thermal Efficiency,0.045,0.046,0.047,0.048,0.049,0.05,0.051,0.052,0.053,0.054,0.055,0.056,0.057,0.058,0.061,0.062,0.063,0.064,0.065,0.066,0.068,0.069,0.07
Discharge Burnup,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.01,0.013,0.014,0.016,0.019,0.02,0.027,0.028,0.029,0.033,0.036,0.039,0.04,0.041,0.045,0.046,0.048,0.054,0.06,0.064,0.065,0.066,0.068,0.076,0.078,0.092,0.105,0.111,0.118,0.121,0.132,0.134,0.161,0.224,0.275,0.349,0.354
Load following Capabilities,0.022,0.023,0.024,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034,0.035
Net Power Output,0.001,0.002,0.003,0.005,0.006,0.008,0.01,0.011,0.012,0.013,0.014,0.015,0.019,0.02,0.022,0.024,0.026,0.029,0.033,0.034,0.036,0.038,0.04,0.041,0.045,0.046,0.048,0.05,0.053,0.06,0.061,0.062,0.068,0.082,0.098,0.105,0.109,0.111,0.115,0.131,0.176,0.18,0.21,0.272,0.288,0.35
Capital Investment Budgeted,0.474,0.475,0.476,0.477,0.478,0.479,0.481,0.483,0.486,0.487,0.491,0.495,0.497,0.498,0.501,0.508,0.517,0.518,0.52,0.522,0.526,0.53,0.533,0.536,0.539,0.543,0.545,0.549,0.552,0.561,0.562,0.566,0.57,0.58,0.583,0.588,0.592,0.594,0.597,0.599,0.602,0.605,0.606,0.607,0.611,0.638,0.647,0.649,0.665,0.673,0.674,0.683,0.684,0.686,0.69,0.693,0.694,0.695,0.698,0.714,0.718,0.719,0.727,0.73,0.732,0.735
Operative + Fuel Costs,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.02,0.021,0.022,0.023,0.024,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.035
Design Complexity,0.02,0.021,0.022,0.023,0.024,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.036,0.037,0.038,0.043,0.044,0.045,0.046,0.051,0.052,0.054,0.055,0.059,0.063,0.069,0.073,0.075,0.078,0.085,0.087,0.09,0.095,0.099,0.11,0.111,0.113,0.115,0.135,0.154,0.174,0.189,0.19,0.198,0.355
Construction Complexity,0.02,0.021,0.022,0.023,0.024,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.036,0.037,0.038,0.04,0.043,0.044,0.045,0.049,0.05,0.051,0.052,0.054,0.057,0.063,0.069,0.073,0.076,0.09,0.091,0.095,0.105,0.11,0.135,0.175,0.18,0.19,0.198,0.199,0.202,0.222,0.237,0.262,0.364,0.367,0.369
Percived Safety,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.014,0.015,0.019,0.02,0.021,0.022,0.023,0.024,0.025,0.026,0.027
Nuclear Waste,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.009,0.01,0.011,0.012,0.014,0.015,0.016,0.019,0.023,0.024,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.033,0.034,0.035,0.037,0.042,0.043,0.044,0.045
GHGe Benefit,0.001,0.002
Electricity Market Benefit,0.022,0.023,0.024,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034
Design Maturity,0.001,0.002,0.003,0.004,0.005,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.019,0.02,0.022,0.026,0.028,0.029,0.03,0.031,0.032,0.033,0.035,0.037,0.039,0.04,0.046
Licensing Status,0.02,0.021,0.022,0.023,0.024,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.037,0.039,0.04,0.043,0.044,0.051,0.054,0.056,0.058,0.062,0.067,0.069,0.071,0.073,0.074,0.077,0.082,0.088,0.089,0.092,0.096,0.098,0.11,0.115,0.117,0.118,0.142,0.151,0.164,0.2,0.209,0.212,0.216,0.22,0.233,0.25,0.251,0.255,0.263,0.302,0.344,0.346
Supplier Availbility,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.024,0.026,0.028,0.03,0.033,0.038,0.039,0.04,0.041,0.042,0.045,0.06,0.061,0.071,0.084,0.086,0.087,0.091,0.095,0.097,0.103,0.11,0.131,0.139,0.143,0.163,0.179,0.204,0.206,0.245,0.263,0.294,0.329
