Criterion 1,Criterion 2,Criterion 3,Criterion 4,Criterion 5,Criterion 6,Criterion 7,Criterion 8,Criterion 9,Criterion 10,Criterion 11,Criterion 12,Criterion 13,Criterion 14,Criterion 15,z
0.018,0.003,0.05,0.006,0.241,0.018,0.026,0.079,0.001,0.002,0.004,0.001,0.001,0.004,0.546,4.948381342060641
0.04,0.005,0.003,0.013,0.525,0.04,0.191,0.173,0.001,0.001,0.001,0.001,0.001,0.001,0.005,4.948381342059038
0.029,0.105,0.019,0.087,0.175,0.013,0.069,0.057,0.014,0.026,0.213,0.089,0.029,0.069,0.007,4.948381342060655
0.054,0.014,0.012,0.015,0.551,0.042,0.075,0.182,0.006,0.006,0.009,0.006,0.007,0.009,0.012,4.948381342056698
0.02,0.14,0.021,0.127,0.267,0.02,0.125,0.087,0.005,0.019,0.164,0.001,0.001,0.001,0.002,4.948381342896037
0.027,0.003,0.022,0.004,0.295,0.022,0.032,0.097,0.037,0.153,0.031,0.223,0.033,0.004,0.016,4.948381341993944
0.122,0.232,0.053,0.02,0.369,0.028,0.041,0.121,0.001,0.001,0.001,0.001,0.001,0.003,0.005,4.948381342058961
0.034,0.026,0.003,0.005,0.446,0.034,0.288,0.147,0.002,0.002,0.002,0.002,0.002,0.002,0.006,4.94838134214582
0.005,0.179,0.281,0.001,0.03,0.001,0.004,0.009,0.004,0.014,0.018,0.006,0.003,0.385,0.06,4.948381337468359
0.038,0.004,0.016,0.005,0.498,0.038,0.055,0.164,0.001,0.112,0.053,0.001,0.001,0.002,0.012,4.948381337411488
0.057,0.016,0.071,0.099,0.425,0.032,0.119,0.14,0.001,0.001,0.001,0.001,0.001,0.03,0.007,4.948381342060756
0.042,0.005,0.007,0.006,0.553,0.042,0.147,0.182,0.001,0.001,0.001,0.004,0.001,0.001,0.006,4.9483813420605856
0.035,0.004,0.003,0.005,0.464,0.035,0.292,0.153,0.001,0.001,0.001,0.001,0.001,0.001,0.004,4.948381342057484
0.001,0.803,0.091,0.001,0.026,0.001,0.002,0.008,0.001,0.001,0.001,0.001,0.001,0.001,0.062,4.948381342060882
0.012,0.025,0.03,0.065,0.117,0.008,0.075,0.038,0.014,0.062,0.166,0.088,0.107,0.159,0.033,4.948381336569635
0.028,0.003,0.002,0.004,0.376,0.028,0.041,0.124,0.065,0.01,0.088,0.031,0.011,0.17,0.018,4.948381341436312
0.022,0.002,0.013,0.107,0.29,0.021,0.185,0.095,0.001,0.036,0.001,0.01,0.001,0.147,0.068,4.948381342060591
0.046,0.006,0.004,0.007,0.606,0.046,0.068,0.2,0.001,0.001,0.001,0.006,0.002,0.001,0.006,4.948381342060165
0.009,0.486,0.064,0.293,0.045,0.003,0.004,0.014,0.004,0.021,0.003,0.026,0.019,0.002,0.008,4.948381342061048
0.047,0.006,0.004,0.007,0.61,0.046,0.067,0.201,0.001,0.001,0.001,0.001,0.001,0.001,0.006,4.948381342064111
0.007,0.058,0.035,0.274,0.026,0.001,0.016,0.008,0.081,0.013,0.111,0.074,0.065,0.208,0.022,4.948381341903005
0.045,0.005,0.004,0.033,0.594,0.045,0.066,0.196,0.001,0.001,0.001,0.001,0.001,0.001,0.006,4.948381333554531
0.033,0.085,0.041,0.026,0.437,0.033,0.084,0.144,0.001,0.072,0.001,0.012,0.001,0.024,0.007,4.948381342060762
0.032,0.004,0.004,0.004,0.421,0.032,0.056,0.138,0.003,0.032,0.262,0.003,0.002,0.002,0.005,4.948381069411786
0.039,0.005,0.012,0.103,0.52,0.039,0.062,0.171,0.029,0.004,0.002,0.001,0.002,0.002,0.008,4.948381342059594
0.055,0.007,0.005,0.008,0.594,0.045,0.065,0.196,0.001,0.001,0.001,0.013,0.001,0.001,0.006,4.9483813420606655
0.062,0.033,0.023,0.177,0.284,0.021,0.035,0.093,0.072,0.017,0.026,0.115,0.03,0.008,0.005,4.948381342067094
0.031,0.131,0.016,0.13,0.096,0.006,0.061,0.031,0.1,0.05,0.117,0.104,0.009,0.106,0.011,4.9483813427562175
0.026,0.094,0.01,0.078,0.09,0.006,0.057,0.029,0.019,0.034,0.207,0.121,0.09,0.013,0.126,4.948381341954041
0.009,0.143,0.03,0.206,0.034,0.002,0.019,0.01,0.015,0.016,0.013,0.095,0.001,0.368,0.04,4.948381343807199
0.007,0.211,0.055,0.44,0.026,0.001,0.002,0.008,0.004,0.005,0.045,0.03,0.065,0.091,0.01,4.948381342060582
0.026,0.194,0.025,0.083,0.09,0.006,0.047,0.029,0.102,0.036,0.083,0.174,0.032,0.065,0.008,4.948381341859201
0.011,0.148,0.016,0.048,0.037,0.002,0.012,0.011,0.018,0.016,0.038,0.115,0.001,0.075,0.451,4.9483813870957505
0.024,0.002,0.042,0.335,0.321,0.024,0.061,0.105,0.001,0.001,0.001,0.001,0.001,0.001,0.079,4.948381342938128
0.03,0.003,0.044,0.025,0.36,0.027,0.18,0.118,0.037,0.008,0.068,0.02,0.034,0.042,0.004,4.948381140998027
0.039,0.005,0.005,0.005,0.511,0.039,0.057,0.168,0.017,0.002,0.001,0.001,0.001,0.001,0.148,4.948381343072261
0.033,0.032,0.005,0.047,0.365,0.027,0.044,0.12,0.118,0.019,0.05,0.027,0.079,0.024,0.01,4.948381342060703
